name,email,product,balance_due,country,add_card
Brad Van Liew,bvanliew921@hotmail.com,silver,499.8,US,no
Jeffrey Williams,jeffrey.williams@icloud.com,bronze,199.8,CA,yes
Erik Norman,erik.norman@gmail.com,silver,499.8,SE,yes
Neal Petersen,bluetiger2367@gmail.com,bronze,199.8,ZA,yes
Fran Flutter,lunarwave8543@hotmail.com,bronze,199.8,UA,yes
Neil Hunter,nhunter772@icloud.com,bronze,199.8,AU,yes
Azhar Mansor,azhar.mansor@icloud.com,silver,499.8,MY,yes
Bradley Turner,bturner1131@icloud.com,gold,799.8,NZ,yes
Susanna Werner,susanna.werner@yahoo.com,bronze,199.8,DE,yes
Arnulfo Chigi,zetaone1730@icloud.com,bronze,199.8,IT,yes
Giovanni Soldini,gsoldini3098@icloud.com,bronze,199.8,IT,yes
Marc Thiercelin,mthiercelin3170@hotmail.com,bronze,199.8,FR,no
Jesse Martin,jmartin5614@outlook.com,bronze,199.8,AU,yes
Thijn Kramer,tkramer2366@yahoo.com,bronze,199.8,NL,yes
Odd Ahmed,zetaone3606@outlook.com,silver,499.8,NO,yes
Fedor Konyukhov,fkonyukhov5380@gmail.com,bronze,199.8,RU,yes
Edward Hart,ehart2291@outlook.com,bronze,199.8,US,yes
Krystof Baranowsky,kbaranowsky9914@yahoo.com,silver,499.8,PL,yes
Philippe Monnet,philippe.monnet@outlook.com,gold,799.8,FR,yes
Heather Russell,heather.russell@hotmail.com,silver,499.8,NZ,yes
Faith Stanton,fstanton5696@icloud.com,silver,499.8,IE,yes
Grace Savage,gsavage9923@yahoo.com,silver,499.8,GB,yes
Vinny Lauwers,shadowfox5417@gmail.com,silver,499.8,AU,yes
Eduardo Rejduch,erejduch8327@hotmail.com,bronze,199.8,UY,yes
Michel Desjoyeaux,michel.desjoyeaux@gmail.com,bronze,199.8,FR,yes
Anders Månsson,amansson4418@hotmail.com,bronze,199.8,SE,yes
Hayley Graham,lunarwave1989@icloud.com,bronze,199.8,NZ,yes
Ellen MacArthur,sparkbyte7215@gmail.com,bronze,199.8,UA,yes
Roland Jourdain,rjourdain3503@yahoo.com,gold,799.8,FR,yes
Marc Thiercelin,mthiercelin3170@hotmail.com,bronze,199.8,FR,yes
Dominique Wavre,dominique.wavre@icloud.com,bronze,199.8,CH,yes
Bram van Veen,bram.vanveen@outlook.com,silver,499.8,NL,yes
Andre Brown,abrown2711@yahoo.com,silver,499.8,DK,yes
Thomas Coville,thomas.coville@yahoo.com,bronze,199.8,FR,yes
Mike Golding,mike.golding@yahoo.com,bronze,199.8,UA,yes
Bernard Gallay,bernard.gallay@outlook.com,bronze,199.8,CH,yes
Silvester Bien,silvester.bien@yahoo.com,gold,799.8,DE,yes
Víctor Ávila,victor.avila@hotmail.com,bronze,199.8,MX,yes
Roy Hanssen,roy.hanssen@hotmail.com,bronze,199.8,NO,yes
Josh Hall,jhall5021@gmail.com,silver,499.8,UA,no
Joe Seeten,jseeten6449@outlook.com,silver,499.8,FR,no
Patrice Carpentier,pcarpentier5121@outlook.com,bronze,199.8,FR,yes
Simone Bianchetti,lunarwave2085@outlook.com,gold,799.8,IT,yes
Virginie Carpentier,vcarpentier6558@outlook.com,bronze,199.8,FR,yes
Jordan Parker,jparker3745@gmail.com,bronze,199.8,GB,yes
Yves Parlier,yves.parlier@outlook.com,bronze,199.8,FR,yes
Didier Munduteguy,dmunduteguy8070@hotmail.com,bronze,199.8,FR,yes
Tony Mowbray,tony.mowbray@hotmail.com,bronze,199.8,AU,yes
Valerie Wilson,vwilson2158@hotmail.com,bronze,199.8,DK,yes
Leandro Alves,lalves3877@gmail.com,silver,499.8,BR,yes
Michelle Jones,michelle.jones@icloud.com,bronze,199.8,AU,yes
Jacqueline Sullivan,jsullivan8258@gmail.com,bronze,199.8,US,yes
Heather Davis,hdavis6643@hotmail.com,bronze,199.8,US,yes
Nina Johnsen,nina.johnsen@icloud.com,gold,799.8,NO,yes
Brett Irving,birving498@icloud.com,bronze,199.8,NZ,yes
Pasquale de Gregorio,pasquale.degregorio@hotmail.com,bronze,199.8,IT,yes
David B. Clark,dclark4199@hotmail.com,bronze,199.8,US,yes
Wilfried Erdmann,werdmann8638@gmail.com,bronze,199.8,DE,yes
Robert Case,rcase7773@icloud.com,bronze,199.8,US,yes
Dimas Rodriguez,drodriguez4697@icloud.com,bronze,199.8,AR,yes
Norbert Sedacek,nsedacek384@yahoo.com,bronze,199.8,AT,yes
Genuino Madruga,genuino.madruga@icloud.com,gold,799.8,PT,yes
Ron Llewellyn,rllewellyn8412@outlook.com,bronze,199.8,AU,yes
Benito Chico,bchico6236@hotmail.com,bronze,199.8,ES,yes
Ibán Baena,iban.baena@gmail.com,bronze,199.8,ES,yes
Jaime Arenas,jarenas2088@outlook.com,bronze,199.8,MX,yes
Rodney Montgomery,rodney.montgomery@yahoo.com,silver,499.8,CA,yes
Lars Rønning,bluetiger8126@gmail.com,bronze,199.8,NO,no
Petter Kristiansen,petter.kristiansen@icloud.com,silver,499.8,NO,yes
Cristian Somoza,csomoza8676@outlook.com,bronze,199.8,ES,no
Patrick Kaines,patrick.kaines@hotmail.com,bronze,189.81,US,yes
Edwin Arnold,edwin.arnold@outlook.com,bronze,189.81,US,no
Andre Homem de Mello,andrehomem.demello@icloud.com,bronze,189.81,BR,yes
Douglas Thomson,dthomson6961@yahoo.com,silver,474.81,UA,yes
Guus Overdijk,goverdijk1770@yahoo.com,silver,474.81,NL,yes
Michael Salvaneschi,msalvaneschi4855@gmail.com,bronze,189.81,US,yes
Tony Gooch,tgooch7629@icloud.com,silver,474.81,CA,yes
Brechin Morgan,bmorgan9068@icloud.com,bronze,189.81,US,no
Evgeny Gvozdev,egvozdev1828@icloud.com,bronze,189.81,RU,yes
Bernard Stamm,bernard.stamm@yahoo.com,gold,759.81,CH,yes
Thierry Dubois,bluetiger4750@yahoo.com,gold,759.81,FR,no
Simone Bianchetti,lunarwave2085@outlook.com,silver,474.81,IT,yes
James Hodson,jhodson6325@hotmail.com,bronze,189.81,NZ,yes
Wanda Rubio,wrubio7643@outlook.com,bronze,189.81,CA,yes
Emma Richards,emma.richards@yahoo.com,bronze,189.81,UA,yes
Bruce Schwab,bschwab5572@hotmail.com,bronze,189.81,US,yes
Brad Van Liew,bvanliew921@hotmail.com,gold,759.81,US,yes
Tim Kent,tim.kent@outlook.com,bronze,189.81,US,yes
Sherry Mann,smann6730@icloud.com,silver,474.81,US,yes
Óscar Cortés,oscar.cortes@outlook.com,silver,474.81,AR,yes
Kojiro Shiraishi,kojiro.shiraishi@yahoo.com,silver,474.81,JP,yes
Alan Paris,alan.paris@gmail.com,gold,759.81,BM,yes
Derek Hatfield,dhatfield5685@gmail.com,silver,474.81,CA,yes
Harriet Kaul,hkaul7359@icloud.com,silver,474.81,DE,yes
Ingrid Berge,iberge1978@yahoo.com,bronze,189.81,NO,yes
Fidel Manzano,fmanzano9863@gmail.com,bronze,189.81,AR,yes
Dustin Bradshaw,dustin.bradshaw@gmail.com,silver,474.81,DK,yes
Jean-Luc Van den Heede,jeanluc.vandenheede@hotmail.com,silver,474.81,FR,yes
Kenneth Hellewell,kenneth.hellewell@yahoo.com,bronze,189.81,US,no
Uwe Rottgering,urottgering4150@icloud.com,bronze,189.81,DE,yes
Francis Joyon,fjoyon1596@hotmail.com,bronze,189.81,FR,yes
Antonello Papafava,apapafava9244@outlook.com,silver,474.81,IT,yes
Julieta Segovia,jsegovia4030@outlook.com,gold,759.81,AR,yes
Jan Moller,jmoller7271@yahoo.com,bronze,189.81,DK,yes
Henk de Velde,henk.develde@gmail.com,silver,474.81,NL,yes
Vincent Riou,vincent.riou@hotmail.com,bronze,189.81,FR,yes
Roy Brown,rbrown5689@gmail.com,bronze,189.81,IE,no
Shannon Garcia,sgarcia5694@outlook.com,bronze,189.81,DK,no
Etta Tuzzolino,etuzzolino729@outlook.com,silver,474.81,IT,yes
Lazzaro Paolucci,lpaolucci2633@yahoo.com,silver,474.81,IT,yes
Eric Mclean,eric.mclean@hotmail.com,bronze,189.81,AU,yes
Birthe Seifert,birthe.seifert@icloud.com,bronze,189.81,DE,no
Jean Le Cam,jean.lecam@icloud.com,bronze,189.81,FR,yes
Mike Golding,mike.golding@yahoo.com,gold,759.81,UA,yes
Dominique Wavre,dominique.wavre@icloud.com,bronze,189.81,CH,yes
Sebastien Josse,sebastien.josse@yahoo.com,bronze,189.81,FR,yes
Maria Moore,mmoore9909@hotmail.com,bronze,189.81,CA,no
Salomé Pinilla,salome.pinilla@yahoo.com,bronze,189.81,ES,no
Jean-Pierre Dick,jdick8027@gmail.com,silver,474.81,FR,yes
"Conrad Humphreys,",conradh934@yahoo.com,silver,474.81,UA,no
Joe Sweeten,shadowfox8485@icloud.com,silver,474.81,FR,yes
Martino Fantoni,mfantoni3167@hotmail.com,silver,474.81,IT,yes
Carmen Campos,ccampos2867@gmail.com,silver,474.81,US,yes
Norberto Torrent,norberto.torrent@yahoo.com,bronze,189.81,AR,yes
Benoit Parnaudeau,bparnaudeau1740@outlook.com,gold,759.81,FR,yes
Anne Liardet,anne.liardet@gmail.com,bronze,189.81,FR,yes
Raphaël Dinelli,rdinelli4737@yahoo.com,bronze,189.81,FR,yes
Karen Leibovici,kleibovici4140@outlook.com,gold,759.81,FR,yes
Fredrik Fredriksen,ffredriksen2068@icloud.com,bronze,189.81,NO,no
Lucho Huerta,lucho.huerta@gmail.com,gold,759.81,ES,yes
Heather Vasquez,hvasquez9005@outlook.com,bronze,189.81,CA,yes
Mark Slats,mark.slats@yahoo.com,bronze,189.81,NL,no
Harry Heckel,harry.heckel@hotmail.com,bronze,189.81,US,yes
Fredric D.Roe,fdroe6859@outlook.com,bronze,189.81,US,yes
Alice Fredriksson,afredriksson4488@hotmail.com,bronze,189.81,SE,yes
Bjørn Eliassen,bjrn.eliassen@yahoo.com,bronze,189.81,NO,no
Tyler Harris,tyler.harris@gmail.com,silver,474.81,US,yes
Edmundo Ayuso,eayuso3741@outlook.com,bronze,189.81,AR,yes
Marissa Perry,mperry7912@yahoo.com,bronze,189.81,US,no
Mikael Nordin,mnordin2199@hotmail.com,gold,759.81,SE,yes
Ellen MacArthur,sparkbyte7215@gmail.com,silver,474.81,UA,no
Fedor Konyukhov,fkonyukhov5380@gmail.com,bronze,189.81,RU,yes
Dee Caffari,lunarwave6788@hotmail.com,silver,474.81,UA,yes
Ardell Lien,alien4446@yahoo.com,bronze,189.81,US,yes
Jennifer Miller,jmiller6295@outlook.com,silver,474.81,DK,yes
Stephanie Robinson,lunarwave6299@yahoo.com,gold,759.81,US,yes
Cliodhna Power,cpower1650@hotmail.com,silver,474.81,IE,no
Reynaldo Salcedo,bluetiger5737@icloud.com,bronze,189.81,MX,yes
Rebecca Manahan,rmanahan6541@outlook.com,silver,474.81,IE,yes
Alain Maignan,alain.maignan@gmail.com,silver,474.81,FR,yes
Robin Knox-Johnston,rknoxjohnston2822@icloud.com,silver,474.81,UA,yes
Donna Lange,donna.lange@outlook.com,bronze,189.81,US,yes
Isa Santos,isantos5393@outlook.com,silver,474.81,ES,no
Olof Gunnarsson,bluetiger9161@gmail.com,bronze,189.81,SE,yes
Unai Basurko,ubasurko1644@gmail.com,bronze,189.81,ES,yes
Graham Dalton,graham.dalton@yahoo.com,bronze,189.81,NZ,yes
Ken Gourlay,ken.gourlay@hotmail.com,bronze,189.81,AU,yes
Bernard Stamm,bernard.stamm@yahoo.com,silver,474.81,CH,yes
Logan Holloway,logan.holloway@yahoo.com,silver,474.81,NZ,yes
Zachary Thompson,sparkbyte8078@gmail.com,bronze,189.81,NZ,yes
Harker Mike,hmike3414@yahoo.com,gold,759.81,US,yes
Robert Graf,rgraf7950@icloud.com,bronze,189.81,CA,yes
Tomasz Lewandowski,tlewandowski7945@gmail.com,gold,759.81,PL,yes
Brian Hamilton,bhamilton6529@hotmail.com,gold,759.81,GB,yes
Dalia Maestas,dalia.maestas@icloud.com,bronze,189.81,MX,yes
Jeanne Socrates,jsocrates9843@outlook.com,bronze,189.81,UA,yes
Joanna Pajkowska,joanna.pajkowska@yahoo.com,gold,759.81,PL,yes
Michel Desjoyeaux,michel.desjoyeaux@gmail.com,silver,474.81,FR,yes
Armel le Cléac’h,alecleach8045@hotmail.com,silver,474.81,FR,yes
Dominga Valenciano,lunarwave3243@yahoo.com,bronze,189.81,ES,yes
Jeremy Long,jeremy.long@yahoo.com,silver,474.81,DK,yes
Marc Guillemot,marc.guillemot@hotmail.com,bronze,189.81,FR,yes
Samantha Davies,samantha.davies@hotmail.com,gold,759.81,UA,yes
Brian Thompson,bthompson46@gmail.com,gold,759.81,UA,yes
Lucy Pratt,lucy.pratt@icloud.com,silver,474.81,GB,yes
Dee Caffari,lunarwave6788@hotmail.com,bronze,189.81,UA,yes
Arnaud Boissieres,arnaud.boissieres@icloud.com,bronze,189.81,FR,no
Steve White,steve.white@yahoo.com,gold,759.81,UA,yes
Rich Wilson,rich.wilson@icloud.com,bronze,189.81,US,yes
Lars Berglund,lberglund4959@outlook.com,bronze,189.81,SE,no
Stephen Sontag,stephen.sontag@outlook.com,bronze,189.81,DE,yes
Helen Gardiner,hgardiner4057@gmail.com,bronze,189.81,NZ,yes
Dawn Tooman,dtooman4272@hotmail.com,gold,759.81,IE,yes
Bjørg Nygård,bjrg.nygard@hotmail.com,bronze,189.81,NO,no
Diane Mills,bluetiger8607@gmail.com,bronze,189.81,GB,yes
Raphaël Dinelli,rdinelli4737@yahoo.com,bronze,189.81,FR,yes
Gervasio González,ggonzalez4743@gmail.com,gold,759.81,ES,yes
Gerardo Rangel,shadowfox296@hotmail.com,bronze,189.81,MX,yes
Christophe Jean,cjean3483@gmail.com,bronze,189.81,FR,yes
Finn Andersen,fandersen4914@icloud.com,silver,474.81,NO,yes
Hayden McCorkill,hmccorkill4192@outlook.com,bronze,189.81,IE,yes
Norbert Sedacek,nsedacek384@yahoo.com,silver,474.81,AT,yes
Oswald Täsche,oswald.tasche@hotmail.com,silver,474.81,DE,yes
Vincent Smith,vsmith1905@yahoo.com,bronze,189.81,US,yes
Elias Jaimes,ejaimes8788@hotmail.com,silver,474.81,MX,yes
Tamio Meguro,tamio.meguro@icloud.com,bronze,189.81,JP,yes
Monique Pons,mpons5423@yahoo.com,bronze,189.81,FR,yes
Paulette Moreau,paulette.moreau@yahoo.com,bronze,189.81,FR,yes
Michel Kleinjans,michel.kleinjans@hotmail.com,bronze,189.81,BE,no
Özkan Gülkaynak,ogulkaynak8025@outlook.com,bronze,179.82,TR,yes
Zac Sunderland,zsunderland511@icloud.com,silver,449.82,US,yes
Michael Perham,michael.perham@gmail.com,silver,449.82,UA,yes
Isabelle Ghoerle,ighoerle5338@gmail.com,bronze,179.82,NL,yes
Mark Mullen,mmullen7214@yahoo.com,bronze,179.82,IE,yes
Thomas Coville,thomas.coville@yahoo.com,bronze,179.82,FR,no
Jessica Watson,jwatson1162@yahoo.com,gold,719.82,AU,yes
Dilip Donde,ddonde4162@gmail.com,bronze,179.82,IN,yes
Alessandro Di Benedetto,alessandro.dibenedetto@hotmail.com,bronze,179.82,IT,yes
Bonnie Sanchez,bsanchez5573@gmail.com,gold,719.82,DK,no
Kenneth Carter,kenneth.carter@outlook.com,silver,449.82,CA,no
Derek Hatfield,dhatfield5685@gmail.com,gold,719.82,CA,yes
Sara Solberg,sara.solberg@outlook.com,silver,449.82,NO,yes
Albert Charlton,acharlton2349@outlook.com,bronze,179.82,GB,yes
Brad Van Liew,bvanliew921@hotmail.com,bronze,179.82,US,yes
Mathias Ahmed,mathias.ahmed@gmail.com,bronze,179.82,NO,no
Estela Peiró,estela.peiro@icloud.com,silver,449.82,ES,no
Chris Stanmore-Major,chris.stanmoremajor@gmail.com,bronze,179.82,UA,yes
Theresa Ellis,tellis5197@yahoo.com,silver,449.82,CA,yes
Ramona Seip,ramona.seip@yahoo.com,gold,719.82,DE,yes
Zbigniew Gutkowski,sparkbyte9408@icloud.com,bronze,179.82,PL,yes
Brigitte David,brigitte.david@yahoo.com,bronze,179.82,FR,yes
Benjamin Parsons,bparsons4005@outlook.com,gold,719.82,NZ,yes
Zachary Cook,zachary.cook@gmail.com,bronze,179.82,CA,no
Paddy Macklin,pmacklin5155@icloud.com,silver,449.82,UA,yes
Henk de Velde,henk.develde@gmail.com,gold,719.82,NL,yes
Minoru Saito,msaito2179@outlook.com,bronze,179.82,JP,yes
Joshua Soto,joshua.soto@hotmail.com,bronze,179.82,DK,yes
Uku Randmaa,uku.randmaa@hotmail.com,bronze,179.82,EE,yes
Laura Dekker,laura.dekker@yahoo.com,silver,449.82,NL,yes
Tomasz Cichocki,tcichocki5217@yahoo.com,bronze,179.82,PL,yes
Henk Oosterwijk,hoosterwijk2674@yahoo.com,bronze,179.82,NL,yes
Anthony Cameron,anthony.cameron@gmail.com,silver,449.82,NZ,yes
Jeanne Socrates,jsocrates9843@outlook.com,silver,449.82,UA,yes
Åke Carlsson,ake.carlsson@yahoo.com,bronze,179.82,SE,no
Kirk Little,kirk.little@yahoo.com,silver,449.82,US,yes
Carlos Sepúlveda,carlos.sepulveda@icloud.com,silver,449.82,MX,no
Cauã Nunes,caua.nunes@hotmail.com,bronze,179.82,BR,yes
Stéphane Narvaez,snarvaez8379@gmail.com,bronze,179.82,FR,yes
Ove Lindström,ove.lindstrom@outlook.com,bronze,179.82,SE,yes
Christian Liebergreen,cliebergreen8543@outlook.com,silver,449.82,DK,yes
Aribert Trapp,atrapp8408@hotmail.com,silver,449.82,DE,no
Jérôme Devaux,jerome.devaux@icloud.com,bronze,179.82,FR,no
Francois Gabart,francois.gabart@hotmail.com,bronze,179.82,FR,yes
Armel le Cléac’h,alecleach8045@hotmail.com,bronze,179.82,FR,yes
Alex Thompson,alex.thompson@hotmail.com,bronze,179.82,UA,no
Salud Tomás,stomas2268@gmail.com,silver,449.82,AR,yes
Pina Maffei,pina.maffei@yahoo.com,silver,449.82,IT,yes
Alf Pedersen,nightfalcon3596@yahoo.com,bronze,179.82,NO,no
Jean-Pierre Dick,jdick8027@gmail.com,bronze,179.82,FR,yes
Jean Le Cam,jean.lecam@icloud.com,bronze,179.82,FR,yes
Mike Golding,mike.golding@yahoo.com,silver,449.82,UA,no
Dominique Wavre,dominique.wavre@icloud.com,bronze,179.82,CH,yes
Clarissa MacGloin,cmacgloin713@icloud.com,bronze,179.82,IE,yes
Bertrand de Broc,bdebroc5939@outlook.com,bronze,179.82,FR,yes
Richard Parks,richard.parks@hotmail.com,bronze,179.82,AU,yes
Allison Smith,asmith2285@gmail.com,bronze,179.82,AU,yes
Siobhan Paten,spaten6500@hotmail.com,gold,719.82,IE,yes
Jorn Stamrood,jorn.stamrood@hotmail.com,gold,719.82,NL,yes
Tanguy de Lamotte,tdelamotte5447@gmail.com,bronze,179.82,FR,no
Michael Watts,mwatts3583@outlook.com,gold,719.82,NZ,yes
Alessandro Di Benedetto,alessandro.dibenedetto@hotmail.com,bronze,179.82,IT,yes
Curtis Roberts,curtis.roberts@hotmail.com,bronze,179.82,CA,yes
Dennis Hughes,dhughes6729@gmail.com,silver,449.82,AU,yes
Stacey Craig,scraig8877@gmail.com,bronze,179.82,AU,yes
Torquato Ariosto,tariosto6083@gmail.com,silver,449.82,IT,no
Rachel Johnson,rjohnson4207@hotmail.com,bronze,179.82,US,yes
Guo Chuan,gchuan2293@yahoo.com,bronze,179.82,CN,yes
Kelsey Sandoval,sparkbyte2077@gmail.com,gold,719.82,CA,yes
Darrell Moore,dmoore6858@hotmail.com,bronze,179.82,CA,yes
Abhilash Tomy,abhilash.tomy@outlook.com,bronze,179.82,IN,yes
Gerry Hughes,gerry.hughes@yahoo.com,bronze,179.82,UA,yes
Izabel Pimentel,izabel.pimentel@gmail.com,bronze,179.82,BR,yes
Andrew Oliver,aoliver6980@yahoo.com,bronze,179.82,CA,no
Victorino Lerma,vlerma1132@outlook.com,bronze,179.82,ES,yes
Olof Fredriksson,sparkbyte614@hotmail.com,silver,449.82,SE,yes
Marino Vilalta,mvilalta9728@outlook.com,bronze,179.82,ES,yes
Tracey McLeod,tmcleod4691@outlook.com,silver,449.82,NZ,no
Szymon Kuczynski,skuczynski7978@yahoo.com,silver,449.82,PL,yes
Joe Harris,jharris8155@icloud.com,bronze,179.82,US,yes
Thomas Coville,thomas.coville@yahoo.com,gold,719.82,FR,yes
Armel le Cléac’h,alecleach8045@hotmail.com,bronze,179.82,FR,no
Jeremie Beyou,jbeyou9157@hotmail.com,bronze,179.82,FR,yes
Jean-Pierre Dick,jdick8027@gmail.com,bronze,179.82,FR,yes
Lucio Maldonado,lmaldonado5240@hotmail.com,gold,719.82,AR,yes
David Ruiz,druiz6419@hotmail.com,bronze,179.82,CA,yes
Michelle Smith,msmith4058@outlook.com,bronze,179.82,NZ,yes
Yann Elies,yelies8825@gmail.com,bronze,179.82,FR,yes
Jean Le Cam,jean.lecam@icloud.com,silver,449.82,FR,yes
Louis Burton,lburton9726@gmail.com,bronze,179.82,FR,yes
Nandor Fa,nfa5149@yahoo.com,silver,449.82,HU,yes
Sarah Simmons,sarah.simmons@gmail.com,gold,719.82,CA,yes
Eric Bellion,eric.bellion@icloud.com,bronze,179.82,FR,no
Arnaud Boissieres,arnaud.boissieres@icloud.com,bronze,179.82,FR,no
Fabrice Amedeo,famedeo8739@gmail.com,bronze,179.82,FR,yes
Siv Strøm,siv.strm@yahoo.com,silver,449.82,NO,yes
Espartaco Carmona,espartaco.carmona@yahoo.com,gold,719.82,MX,yes
Alan Roura,aroura8586@yahoo.com,bronze,179.82,CH,yes
Esther Porto,eporto3243@icloud.com,silver,449.82,BR,no
Rich Wilson,rich.wilson@icloud.com,silver,424.83,US,yes
Marcus Ford,marcus.ford@hotmail.com,silver,424.83,AU,no
Glenn Woods,gwoods1751@icloud.com,bronze,169.83,GB,yes
Joshua Smith,joshua.smith@yahoo.com,bronze,169.83,AU,yes
Didac Costa,dcosta9683@gmail.com,gold,679.83,ES,yes
Christer Jensen,christer.jensen@yahoo.com,bronze,169.83,SE,yes
Romain Attanasio,rattanasio4171@hotmail.com,bronze,169.83,FR,yes
Luiz Gustavo Sales,luizgustavo.sales@icloud.com,bronze,169.83,BR,yes
Kristin Jakobsen,kjakobsen263@icloud.com,bronze,169.83,NO,yes
Eloy Sierra,esierra379@hotmail.com,silver,424.83,MX,yes
Conrad Coleman,conrad.coleman@yahoo.com,bronze,169.83,NZ,yes
Stephanie Manning,nightfalcon8074@hotmail.com,silver,424.83,DK,yes
Bridget Chen,bridget.chen@icloud.com,bronze,169.83,DK,yes
Melanie Muldowney,melanie.muldowney@hotmail.com,bronze,169.83,IE,yes
Hernán Miguel,hernan.miguel@icloud.com,silver,424.83,AR,yes
Naoise McCurtin,naoise.mccurtin@icloud.com,bronze,169.83,IE,yes
Pieter Heerema,pheerema7916@hotmail.com,bronze,169.83,NL,yes
Zacharie Leblanc,zleblanc2258@outlook.com,silver,424.83,FR,yes
Rachael Taylor,rtaylor1476@outlook.com,bronze,169.83,GB,yes
Claire Patel,cpatel8672@yahoo.com,gold,679.83,GB,yes
Sébastien Destremau,sebastien.destremau@outlook.com,gold,679.83,FR,yes
Mika Leguit,mika.leguit@outlook.com,silver,424.83,NL,yes
Vasil Kurtev,vkurtev9350@gmail.com,bronze,169.83,BG,no
Magne Christensen,mchristensen5879@hotmail.com,bronze,169.83,NO,yes
Siegmar Winkler,swinkler9626@gmail.com,bronze,169.83,DE,yes
Lorenza Calvo,lorenza.calvo@gmail.com,bronze,169.83,ES,yes
Kelli Anderson,kanderson8692@gmail.com,bronze,169.83,CA,yes
Damien May,zetaone4161@yahoo.com,bronze,169.83,GB,yes
Lisa Blair,lisa.blair@outlook.com,bronze,169.83,AU,yes
Amber Mueller,amber.mueller@outlook.com,bronze,169.83,DK,yes
Jon Sanders,jsanders6531@gmail.com,bronze,169.83,AU,yes
Enda O'Coineen,enda.ocoineen@outlook.com,bronze,169.83,IE,yes
Heather Garcia,sparkbyte3797@yahoo.com,bronze,169.83,DK,no
Christine Leach,christine.leach@gmail.com,gold,679.83,GB,yes
Jerome Rand,shadowfox9511@outlook.com,gold,679.83,US,yes
Isa Garriga,igarriga8971@outlook.com,gold,679.83,AR,yes
